Date,AEFES.IS,AGHOL.IS,AKBNK.IS,AKSEN.IS,ALGYO.IS,ALARK.IS,ARCLK.IS,ASELS.IS,ASTOR.IS,BIMAS.IS,BIOEN.IS,CANTE.IS,CCOLA.IS,DOAS.IS,EKGYO.IS,ENJSA.IS,EUPWR.IS,EREGL.IS,FROTO.IS,GARAN.IS,GESAN.IS,GUBRF.IS,GWIND.IS,HEKTS.IS,ISCTR.IS,ISDMR.IS,KARSN.IS,KCHOL.IS,KMPUR.IS,KONTR.IS,KRDMD.IS,MGROS.IS,ODAS.IS,OTKAR.IS,OYAKC.IS,PENTA.IS,PETKM.IS,PGSUS.IS,QUAGR.IS,SAHOL.IS,SASA.IS,SELEC.IS,SISE.IS,SKBNK.IS,SMRTG.IS,SOKM.IS,TAVHL.IS,TCELL.IS,THYAO.IS,TKFEN.IS,TOASO.IS,TSKB.IS,TTKOM.IS,TTRAK.IS,TUPRS.IS,TURSG.IS,ULKER.IS,VAKBN.IS,VESBE.IS,VESTL.IS,YATAS.IS,YKBNK.IS,ZOREN.IS
2020-01-02,0.06752315908670425,16.665260314941406,6.56862211227417,1.7951737642288208,3.1220200061798096,5.45761251449585,18.671035766601562,5.254951000213623,,38.392154693603516,,,37.44699478149414,5.127786636352539,1.3263001441955566,5.007777214050293,,3.8175859451293945,5.849961757659912,9.249969482421875,,9.210000038146973,,0.4383910000324249,0.9803450107574463,5.717360019683838,1.5800000429153442,17.039886474609375,,,2.538975238800049,23.507173538208008,1.1337529420852661,26.761438369750977,1.5,,3.25,17.575088500976562,,7.762873649597168,0.15689699351787567,5.533657073974609,4.736390113830566,1.091650128364563,,10.095697402954102,27.275968551635742,11.456439971923828,14.63646411895752,16.081933975219727,16.30567169189453,1.1970298290252686,5.947456359863281,19.333158493041992,13.402786254882812,0.24616579711437225,20.22468376159668,5.559999942779541,2.1708571910858154,10.158296585083008,6.8459792137146,2.1052675247192383,0.9121270179748535
2020-01-03,0.06711392849683762,16.14476776123047,6.3919596672058105,1.7489063739776611,2.8905067443847656,5.320714950561523,18.777219772338867,5.303652763366699,,39.270355224609375,,,36.49576950073242,4.881051540374756,1.2906948328018188,4.8421759605407715,,3.7588531970977783,5.712265491485596,8.995306968688965,,8.819999694824219,,0.4324589967727661,0.9487701058387756,5.602293968200684,1.5099999904632568,17.023117065429688,,,2.5019102096557617,22.55623435974121,1.0713449716567993,27.02739143371582,1.4282050132751465,,3.166666030883789,16.971521377563477,,7.5743021965026855,0.15431199967861176,5.361014366149902,4.683072566986084,1.04348886013031,,9.59934139251709,26.866363525390625,11.309562683105469,14.083772659301758,15.426193237304688,16.098651885986328,1.1381593942642212,5.84311580657959,18.744680404663086,13.161954879760742,0.23807549476623535,19.856002807617188,5.369999885559082,2.2230968475341797,10.441784858703613,6.720034599304199,2.046787977218628,0.8789590001106262
2020-01-06,0.06565238535404205,15.652665138244629,6.191206932067871,1.679505467414856,3.271822690963745,5.238577365875244,18.936500549316406,5.376705646514893,,39.50233459472656,,,36.01045608520508,4.693319320678711,1.255089282989502,4.7229437828063965,,3.721096992492676,5.770682334899902,8.707785606384277,,8.359999656677246,,0.4216749966144562,0.9247121810913086,5.458461284637451,1.440000057220459,16.8386287689209,,,2.4092466831207275,21.852540969848633,1.0505419969558716,26.877792358398438,1.369230031967163,,3.058332920074463,16.3270320892334,,7.393586158752441,0.14973799884319305,5.261063098907471,4.549778938293457,1.0033551454544067,,9.252828598022461,26.17748260498047,11.170845985412598,13.39290714263916,14.918000221252441,15.928167343139648,1.1087243556976318,5.674564361572266,18.12158966064453,12.952537536621094,0.2288300096988678,19.39954376220703,5.159999847412109,2.2405099868774414,10.394536018371582,6.468145847320557,2.005016803741455,0.8402630090713501
2020-01-07,0.06857547163963318,16.040668487548828,6.255447864532471,1.7118924856185913,3.3092727661132812,5.320714950561523,18.653339385986328,5.459499359130859,,39.80058670043945,,,37.0004997253418,4.763049125671387,1.2639907598495483,4.815680027008057,,3.7462682723999023,5.9542765617370605,8.69957160949707,,8.59000015258789,,0.43946900963783264,0.9277193546295166,5.50161075592041,1.4600000381469727,16.72123146057129,,,2.418513059616089,22.442123413085938,1.0713449716567993,27.04401397705078,1.3717939853668213,,3.0916659832000732,16.265653610229492,,7.425015449523926,0.15311799943447113,5.288322448730469,4.549778938293457,1.0113816261291504,,9.41203784942627,27.0339298248291,11.342202186584473,13.363298416137695,15.278656005859375,16.18389320373535,1.1283477544784546,5.722722053527832,18.69275665283203,12.868768692016602,0.2369203120470047,19.99645233154297,5.25,2.3411202430725098,10.819767951965332,6.64806604385376,2.005016803741455,0.862375020980835
2020-01-08,0.0672893151640892,16.457063674926758,6.3919596672058105,1.6748785972595215,3.1662797927856445,5.2477030754089355,18.44096565246582,5.425407886505127,,40.13198471069336,,,36.728721618652344,4.800594806671143,1.2372868061065674,4.8421759605407715,,3.7420730590820312,5.950103282928467,9.102100372314453,,8.40999984741211,,0.43191999197006226,0.9322299957275391,5.451269626617432,1.4199999570846558,16.687686920166016,,,2.427779197692871,22.70838737487793,1.1181509494781494,26.595218658447266,1.356410026550293,,3.075000047683716,15.754154205322266,,7.566443920135498,0.15013599395751953,5.242890357971191,4.5231194496154785,1.0033551454544067,,9.468229293823242,26.66156005859375,11.30140209197998,13.323821067810059,15.229475021362305,16.33002471923828,1.1185359954833984,5.778905391693115,18.727371215820312,12.6069974899292,0.24038687348365784,20.452911376953125,5.360000133514404,2.333381175994873,10.756771087646484,6.729031085968018,2.0217254161834717,0.8513190150260925
2020-01-09,0.06986162811517715,17.214147567749023,6.833615303039551,1.7442796230316162,3.2088370323181152,5.448485374450684,18.989595413208008,5.566644191741943,,40.463375091552734,,,37.87407302856445,5.0097832679748535,1.3084975481033325,5.054145812988281,,3.8847079277038574,6.108661651611328,9.808581352233887,,8.869999885559082,,0.45672500133514404,0.999891996383667,5.595102310180664,1.5199999809265137,17.190834045410156,,,2.5575079917907715,23.507173538208008,1.3417810201644897,26.811304092407227,1.397434949874878,,3.2583329677581787,16.15312385559082,,7.975017070770264,0.1555050015449524,5.470051288604736,4.683072566986084,1.0755970478057861,,9.833471298217773,27.25735092163086,11.994991302490234,14.07390308380127,15.917998313903809,16.756237030029297,1.1970298290252686,6.180217742919922,19.263925552368164,13.099130630493164,0.24963335692882538,21.295608520507812,5.679999828338623,2.4262518882751465,11.323745727539062,7.259796619415283,2.121975898742676,0.9010710120201111
2020-01-10,0.06904315948486328,17.138439178466797,6.96209716796875,1.7766668796539307,3.2684173583984375,5.402853488922119,18.971895217895508,5.527682304382324,,40.19826889038086,,,38.82529067993164,5.347702503204346,1.3441028594970703,5.2197465896606445,,3.8847079277038574,6.087799072265625,9.816797256469727,,8.920000076293945,,0.47020500898361206,1.00139582157135,5.6166768074035645,1.5099999904632568,17.22437858581543,,,2.631638526916504,23.24091148376465,1.279373049736023,26.528730392456055,1.3923070430755615,,3.2666659355163574,16.02013397216797,,8.085018157958984,0.15431199967861176,5.597261905670166,4.718617916107178,1.0996767282485962,,9.899027824401855,27.331823348999023,11.774675369262695,14.2022066116333,16.385210037231445,16.42744255065918,1.1970298290252686,6.300612449645996,20.371641159057617,13.120071411132812,0.2473219931125641,21.98029899597168,5.960000038146973,2.4572086334228516,11.134754180908203,7.196824073791504,2.2472896575927734,0.9065989851951599
2020-01-13,0.06956931948661804,17.308780670166016,7.026337623596191,1.7998005151748657,3.249692678451538,5.539749622344971,19.325851440429688,5.5763840675354,,40.14855194091797,,,39.77650833129883,5.49252462387085,1.3975110054016113,5.279362678527832,,4.0063676834106445,6.179595947265625,10.02216911315918,,8.829999923706055,,0.515500009059906,1.014927864074707,5.695785999298096,1.5499999523162842,17.442405700683594,,,2.752100944519043,23.92558479309082,1.2741719484329224,26.661706924438477,1.397434949874878,,3.4000000953674316,17.08405113220215,,8.155732154846191,0.16286200284957886,5.579089164733887,4.7985944747924805,1.139811635017395,,10.086333274841309,27.4621524810791,11.815474510192871,14.63646411895752,16.49176788330078,16.390913009643555,1.2166532278060913,6.421006202697754,20.613956451416016,13.161954879760742,0.24963335692882538,21.611618041992188,6.099999904632568,2.4842963218688965,11.307994842529297,7.259796619415283,2.3141236305236816,0.923183023929596
2020-01-14,0.07155701518058777,17.573760986328125,7.1066389083862305,1.7951737642288208,3.207134485244751,5.548876762390137,19.378944396972656,5.668918609619141,,40.29767990112305,,,40.3006477355957,5.556889533996582,1.4064122438430786,5.272738933563232,,4.01475715637207,6.250528812408447,10.02216911315918,,8.6899995803833,,0.5570210218429565,1.0359785556793213,5.681402206420898,1.5399999618530273,17.5598087310791,,,2.8818297386169434,24.971616744995117,1.3417810201644897,28.3737735748291,1.4461530447006226,,3.450000047683716,16.971521377563477,,8.14787483215332,0.16345900297164917,5.579089164733887,4.816366672515869,1.1558655500411987,,10.26427173614502,27.238731384277344,11.986830711364746,14.626593589782715,16.786848068237305,16.51268768310547,1.2166532278060913,6.589557647705078,20.752418518066406,12.983949661254883,0.255411297082901,21.839847564697266,6.400000095367432,2.4862308502197266,11.693854331970215,7.574658393859863,2.3141236305236816,0.9176549911499023
2020-01-15,0.07220008969306946,18.945968627929688,7.090577602386475,1.781293511390686,3.1322338581085205,5.45761251449585,19.18427085876465,5.595865249633789,,40.77820587158203,,,40.572425842285156,5.787532806396484,1.4687215089797974,5.23299503326416,,3.918268918991089,6.333981990814209,9.972880363464355,,8.5,,0.5408440232276917,1.0344749689102173,5.645443916320801,1.600000023841858,17.526262283325195,,,2.872563123703003,25.256898880004883,1.3469820022583008,28.24079704284668,1.4487169981002808,,3.375,16.858991622924805,,8.250016212463379,0.16186800599098206,5.751732349395752,4.807480812072754,1.1478379964828491,,10.451576232910156,27.666954040527344,11.839954376220703,14.527899742126465,16.557340621948242,16.549219131469727,1.2166532278060913,6.477189540863037,20.631261825561523,12.931593894958496,0.3062625229358673,21.787179946899414,6.289999961853027,2.4436655044555664,11.465489387512207,7.637629508972168,2.2890608310699463,0.9065989851951599
